,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
103, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2018,707,1072,820,2320,1248,483,608,952,847,896,639,1996
104, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2016,1280,1351,-9999,797,2075,984,2200,1690,571,350,1011,1997
105, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2744,1389,236,1420,1034,1286,89,778,2119,425,412,196,1998
106, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2229,488,391,739,1773,778,906,1728,624,172,468,745,1999
107,a, , , , ,c, ,a, ,I, , , , , , , , , , , ,1, , ,USH00013160, , , , , , , , , , , , ,644,394,1810,1192,1228,880,31,653,592,742,468,447,2000
108,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1559,1024,1472,1287,1991,659,386,966,453,1814,1412,1577,2001
109, , ,c,a, , , , , , , ,a, , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1558,971,417,2084,1136,130,810,1205,1040,537,2081,2077,2002
110, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,577,1959,1466,490,888,1757,1807,1675,1643,-9999,286,671,2003
111, , ,c, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,953,3179,1161,1113,757,830,1200,1429,-9999,1310,714,1610,2004
112, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,1400,472,993,1514,1968,1553,1880,2764,1539,1187,15,2005
113, , , , , ,a, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1374,1596,879,1210,1302,952,1478,180,681,544,268,1748,2006
114, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,707,607,528,1101,91,587,138,1263,1391,976,618,1234,2007
115, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,608,2072,622,1477,908,979,1367,701,1222,-9999,864,127,2008
116, , , , , , ,b, , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1054,689,788,1758,-9999,980,2245,473,-9999,1711,-9999,1535,2009
117, , , ,b,c, , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1475,874,1257,565,1601,752,1247,402,1727,791,530,539,2010
118, , , ,a, , , , ,a, ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1489,983,795,1313,2173,1074,361,305,658,1048,2764,157,2011
119, , , ,g, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1552,1483,608,1694,1543,290,894,814,1629,1942,998,467,2012
120, , , , , , , , ,b, , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1532,2156,1438,1764,-9999,1646,701,1298,1811,635,574,658,2013
121, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,482,1675,834,2146,1630,2742,693,1241,891,1107,171,623,2014
122, , , , , ,b, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,689,1085,1617,1970,1319,1195,643,649,1146,663,545,811,2015
123, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,950,1632,627,885,2112,1320,253,601,816,674,176,8,2016
124, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2101,1074,431,863,1353,1630,1480,2980,1507,1398,364,980,2017
125, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,697,2400,1671,2769,1337,1920,1992,284,716,1076,2144,224,2018
126, , , , , , , , , ,g, , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1603,1886,-9999,-9999,1115,3229,985,1061,901,880,-9999,-9999,2019
