,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1816,1891,2110,2122,2155,2685,3011,3492,3356,3272,3116,2870,1971
53, , , , , , , , ,b, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2051,1891,1861,1900,2467,2861,2993,3309,3410,3552,3462,2809,1972
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1614,1794,2344,1746,2396,2537,3043,3261,3422,3286,3117,2803,1973
55, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2294,2046,2073,1807,2641,2700,3188,3311,3491,3343,3019,2598,1974
56, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1911,2232,2142,1653,2342,2630,3157,3353,3319,3341,2874,2642,1975
57, , , ,b, , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1646,2304,1718,1547,2449,2884,2845,3246,3489,3394,3044,2383,1976
58, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1251,1894,2147,1694,2426,2854,3256,3649,3426,3253,3150,2486,1977
59, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1115,1501,2513,1886,2268,2838,3099,3404,3423,3381,3283,2727,1978
60, , ,a, ,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1345,1686,2064,1678,2447,2726,3018,3344,3325,3338,2974,2713,1979
61, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1840,1747,2061,1794,2244,2614,3001,-9999,3482,3470,3419,2580,1980
62, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1487,1933,2307,1638,2278,2918,2931,3412,3491,3283,3148,2686,1981
63, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1755,1903,2272,2023,2437,2619,3148,3401,3311,3345,3054,2700,1982
64,b, ,b, , ,a, , , , ,a,a, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1488,1666,2183,1512,2093,2469,2965,3070,3451,3412,2934,2657,1983
65, , , , , ,a, , ,a, , ,a, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1480,1961,2120,2228,2330,2573,2988,3364,3284,3177,3085,2949,1984
66,a,a, ,b, , ,a, , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1423,1834,2459,1668,2460,2766,3013,3319,3225,3295,3081,2739,1985
67,b,a, ,a, , , , ,a, , ,a, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1715,1999,2227,1504,2319,2656,2999,3300,3468,3127,3149,2563,1986
68, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1570,1784,2236,1902,2180,2580,2921,3111,3273,3318,3000,2486,1987
69,a, , , , , , , ,b, ,a, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1368,1720,2234,1796,2187,2588,2955,3259,3168,3173,2910,2425,1988
70, , , , , , ,d, , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2063,1921,2195,-9999,2223,2472,2770,2969,3025,3152,2881,2539,1989
71, , , , , , , ,d,e,a, , , , , , , , , , , , , , ,USH00011084, , , , , , ,S, , , , , ,1865,1986,2419,2050,2325,2478,2635,2938,3141,3497,3275,2723,1990
72,c, ,c, ,e, ,a,a,e, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , ,S, , ,1558,1909,1730,1637,2278,2641,2847,3096,3224,2984,2828,2505,1991
73, , ,b,a,b, ,b, ,d, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , ,S,1355,1846,1876,1630,2077,2317,2734,2941,3098,2889,2779,2289,1992
74,a, , , , , , ,d, , ,b, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1573,1624,2007,1676,1870,2173,2635,3060,-9999,-9999,3022,2633,1993
75, , ,a,a, , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1398,2049,2297,1811,2302,2617,2817,3136,3104,3140,3010,2484,1994
76, , , , ,a, ,d,c,e, , ,b, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1818,1900,2071,1677,2320,2674,2959,3134,3348,3348,3070,2656,1995
77, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1689,1850,2228,1853,1983,2459,3056,3118,3265,3185,2989,2491,1996
